year,stock_total_return,t_bond_10y_total_return,inflation_rate
1928,0.438111551528879,0.00835470858979919,-0.01724137931034464
1929,-0.0829794661190966,0.0420380415632043,0.0
1930,-0.251236363636364,0.0454093143489704,-0.023391812865497186
1931,-0.438375488917862,-0.0255885596194225,-0.08982035928143717
1932,-0.086423645320197,0.0879030699047733,-0.09868421052631582
1933,0.49982225433526,0.0185527208918574,-0.05109489051094884
1934,-0.0118856569709128,0.0796344261796561,0.030769230769230882
1935,0.467404210526316,0.0447204772965661,0.02238805970149249
1936,0.319434102755026,0.0501787540454508,0.014598540145985384
1937,-0.353367287543655,0.0137914605964605,0.03597122302158273
1938,0.29282654028436,0.0421324853220461,-0.02083333333333337
1939,-0.0109756468797564,0.0441226139420607,-0.014184397163120477
1940,-0.106728731942215,0.0540248159628455,0.007194244604316502
1941,-0.127714555765596,-0.0202219758485802,0.050000000000000044
1942,0.191737629459148,0.0229486823744842,0.10884353741496611
1943,0.250613101330604,0.0249,0.06134969325153383
1944,0.19030676949443,0.0257761115790703,0.01734104046242768
1945,0.358210843373494,0.0380441734192372,0.022727272727272707
1946,-0.0842914746543778,0.0312837453756957,0.08333333333333326
1947,0.052,0.00919696806283213,0.14358974358974352
1948,0.0570457516339868,0.019510369413175,0.08071748878923768
1949,0.183032236842105,0.0466348518279731,-0.012448132780083054
1950,0.308055390113163,0.00429595741710961,0.012605042016806678
1951,0.236784630445423,-0.00295313922083199,0.07883817427385886
1952,0.181509886411443,0.0226799619183057,0.019230769230769162
1953,-0.0120820474219045,0.0414384025890885,0.007547169811320753
1954,0.525633212414349,0.0328980345580956,0.0074906367041198685
1955,0.325973318510284,-0.0133643912886187,-0.0037174721189590088
1956,0.0743951187335094,-0.0225577381731542,0.014925373134328401
1957,-0.10457360188558,0.0679701284662501,0.03308823529411775
1958,0.437199549887472,-0.0209901817552747,0.028469750889679624
1959,0.120564571635573,-0.0264663125913851,0.006920415224913601
1960,0.00336535314743695,0.116395036909634,0.01718213058419238
1961,0.266377129581828,0.0206092080763232,0.010135135135135087
1962,-0.0881146051712089,0.0569354405400844,0.010033444816053505
1963,0.226119270998415,0.0168416207395461,0.013245033112582849
1964,0.164154558784324,0.0372806489115408,0.013071895424836555
1965,0.123992424778761,0.00718855093592635,0.016129032258064502
1966,-0.0997095423563779,0.0290794093242996,0.02857142857142847
1967,0.238029665131333,-0.0158062099328247,0.030864197530864113
1968,0.108148626516015,0.0327461969507684,0.041916167664670656
1969,-0.0824137107644906,-0.0501404932099261,0.054597701149425415
1970,0.0356114490549642,0.167547371834123,0.05722070844686633
1971,0.142211502984265,0.097868966197123,0.04381443298969079
1972,0.187553629150749,0.0281844905044498,0.032098765432098775
1973,-0.143080474375265,0.0365866460241501,0.062200956937799035
1974,-0.25901785750897,0.0198860869323786,0.11036036036036023
1975,0.369951371061844,0.0360525360260337,0.09127789046653145
1976,0.238309990021067,0.159845607429092,0.05762081784386619
1977,-0.0697970407593523,0.0128996060710706,0.06502636203866441
1978,0.0650928391167193,-0.00777580690750876,0.07590759075907583
1979,0.185194901675164,0.00670720312472355,0.11349693251533721
1980,0.31735245506763,-0.0298974425199941,0.13498622589531695
1981,-0.0470239024749558,0.0819921533589235,0.10315533980582514
1982,0.204190550795594,0.328145494862956,0.06160616061606161
1983,0.223371558589306,0.0320020944514293,0.032124352331606154
1984,0.0614614199963621,0.137333643441024,0.0431726907630523
1985,0.31235149485769,0.257124882126064,0.03561116458132818
1986,0.184945787580462,0.242842151417676,0.018587360594795488
1987,0.0581272164182187,-0.0496050893792625,0.03649635036496357
1988,0.165371928120447,0.0822359584348417,0.041373239436619746
1989,0.314751836381967,0.176936471594462,0.048182586644125225
1990,-0.0306445161290321,0.0623537533355336,0.05403225806451606
1991,0.302348431348798,0.150045100195173,0.0420811017597551
1992,0.0749372797238006,0.0936163731620794,0.03010279001468441
1993,0.0996705147919488,0.142109575892631,0.029935851746258013
1994,0.0132592067745739,-0.080366555509986,0.02560553633217988
1995,0.371951989026063,0.234807801125389,0.028340080971660075
1996,0.226809660188658,0.0142860779340184,0.029527559055118058
1997,0.331036531036531,0.0993913027297753,0.02294455066921608
1998,0.283379532784436,0.149214319226062,0.015576323987538832
1999,0.208853509920845,-0.0825421479626858,0.02208588957055202
2000,-0.0903181895524928,0.166552671253975,0.03361344537815114
2001,-0.118497591420002,0.0557218118924926,0.028455284552845628
2002,-0.219660479579127,0.151164003781093,0.015810276679842028
2003,0.283558000500102,0.00375318588177585,0.022790439132851503
2004,0.107427759440962,0.0449068370227455,0.026630434782608736
2005,0.0483447752326885,0.0286753295977795,0.03388035997882488
2006,0.156125579793157,0.0196100124175684,0.032258064516129004
2007,0.0548473524642177,0.102099219300128,0.0284821428571429
2008,-0.365523441117982,0.20101279926977,0.03839550115268486
2009,0.25935233877664,-0.111166953132592,-0.003557776714676497
2010,0.148210922787194,0.0846293388035575,0.016402765024214894
2011,0.0209837473362805,0.160353349994613,0.0315652859815827
2012,0.158905852417303,0.0297157197801895,0.020694499397614363
2013,0.321450858581255,-0.0910456879434727,0.014647595320435247
2014,0.135244216494622,0.107461804520047,0.016221877857286904
2015,0.0137889164116761,0.0128429967097922,0.0011869762097864722
2016,0.117730808747982,0.00690550469874779,0.012615128872612624
2017,0.216054814344993,0.0280171627077895,0.02130354531326173
2018,-0.0422686928908854,-0.000166923857134026,0.02442477154046996
2019,0.312116799968088,0.0963563074154839,0.01811976567757978
2020,0.180232018274225,0.113318976466141,0.012336841940568721
2021,0.284688517519642,-0.0441603444860448,0.04698022881562247
2022,-0.180375059271786,-0.178281715382506,0.08002730929623181
2023,0.260606849850241,0.0388,0.04116451111376884
2024,0.248786112625267,-0.0163718014366298,0.029494391241278395
2025,0.177236582375974,0.077954808707674,0.02631268549423149
